"term","frequency","type_","great_area","term_normalize"
"aaarl",36,"BOOK_CHAPTER","0","aaarl"
"aadsp",38,"BOOK","0","aadsp"
"aantiguidade",38,"BOOK_CHAPTER","0","aantiguidade"
"aarapiama",38,"BOOK_CHAPTER","0","aarapiama"
"aaron",74,"BOOK_CHAPTER","0","aaron"
"aaron roberto de mello lopes",1,"NAME","0","0"
"aatr",117,"BOOK","0","aatr"
"aatravés",37,"BOOK_CHAPTER","0","aatraves"
"abacate",39,"BOOK_CHAPTER","0","abacate"
"abacaxi",10,"ARTICLE","0","abacaxi"
"abacaxizeiro",8,"ARTICLE","0","abacaxizeiro"
"abalaram",38,"BOOK","0","abalaram"
"abandonar",39,"BOOK_CHAPTER","0","abandonar"
"abandoned",39,"BOOK_CHAPTER","0","abandoned"
"abandono",9,"ARTICLE","0","abandono"
"abandono",38,"BOOK","0","abandono"
"abandono",263,"BOOK_CHAPTER","0","abandono"
"abarema",1,"PATENT","0","abarema"
"abasteciaa",38,"BOOK_CHAPTER","0","abasteciaa"
"abastecimento",22,"ARTICLE","0","abastecimento"
"abastecimento",43,"BOOK","0","abastecimento"
"abastecimento",531,"BOOK_CHAPTER","0","abastecimento"
"abate",38,"BOOK","0","abate"
"abate",38,"BOOK_CHAPTER","0","abate"
"abatedouro",38,"BOOK","0","abatedouro"
"abatedouros",38,"BOOK_CHAPTER","0","abatedouros"
"abatidos",16,"ARTICLE","0","abatidos"
"abayomi",21,"BOOK_CHAPTER","0","abayomi"
"abciber",12,"SPEAKER","0","abciber"
"abdias",21,"BOOK","0","abdias"
"abdias",76,"BOOK_CHAPTER","0","abdias"
"abdominal",39,"ARTICLE","0","abdominal"
"abdulai",38,"BOOK","0","abdulai"
"abdulai",76,"BOOK_CHAPTER","0","abdulai"
"abebe",21,"BOOK_CHAPTER","0","abebe"
"abebé",21,"BOOK_CHAPTER","0","abebe"
"abecan",13,"SPEAKER","0","abecan"
"abecedário",69,"BOOK","0","abecedario"
"abecs",9,"SPEAKER","0","abecs"
"abed",37,"SPEAKER","0","abed"
"abeh",19,"SPEAKER","0","abeh"
"abel augusto conceição",1,"NAME","0","0"
"abelha",38,"BOOK","0","abelha"
"abelhas",28,"ABSTRACT","0","abelhas"
"abelhas",71,"ARTICLE","0","abelhas"
"abelhas",231,"BOOK","0","abelhas"
"abelhas",396,"BOOK_CHAPTER","0","abelhas"
"abelhinha",30,"BOOK","0","abelhinha"
"abelian",9,"ARTICLE","0","abelian"
"abell",8,"ARTICLE","0","abell"
"abem",32,"SPEAKER","0","abem"
"aberrações",38,"BOOK_CHAPTER","0","aberracoes"
"aberta",27,"ARTICLE","0","aberta"
"aberta",60,"SPEAKER","0","aberta"
"aberta",75,"BOOK","0","aberta"
"aberta",77,"ABSTRACT","0","aberta"
"aberta",641,"BOOK_CHAPTER","0","aberta"
"abertaq",37,"BOOK_CHAPTER","0","abertaq"
"abertas",76,"BOOK","0","abertas"
"abertas",232,"BOOK_CHAPTER","0","abertas"
"aberto",8,"SPEAKER","0","aberto"
"aberto",9,"ABSTRACT","0","aberto"
"aberto",20,"ARTICLE","0","aberto"
"aberto",115,"BOOK","0","aberto"
"aberto",405,"BOOK_CHAPTER","0","aberto"
"abertos",211,"BOOK_CHAPTER","0","abertos"
"abertura",11,"ARTICLE","0","abertura"
"abertura",124,"SPEAKER","0","abertura"
"abertura",171,"BOOK_CHAPTER","0","abertura"
"aberturas",21,"BOOK_CHAPTER","0","aberturas"
"abet",13,"SPEAKER","0","abet"
"abfo",42,"BOOK_CHAPTER","0","abfo"
"abhr",16,"SPEAKER","0","abhr"
"abiertos",38,"BOOK_CHAPTER","0","abiertos"
"abikus",38,"BOOK_CHAPTER","0","abikus"
"abílio",82,"BOOK_CHAPTER","0","abilio"
"abílio josé procópio queiroz",1,"NAME","0","0"
"abílio souza costa neto",1,"NAME","0","0"
"ability",27,"ARTICLE","0","ability"
"abinalio",37,"BOOK","0","abinalio"
"abinalio ubiratan da cruz subrinho",1,"NAME","0","0"
"abiotic",16,"ARTICLE","0","abiotic"
"abiotic",76,"BOOK_CHAPTER","0","abiotic"
"abiótico",21,"BOOK_CHAPTER","0","abiotico"
"abióticos",9,"ABSTRACT","0","abioticos"
"abióticos",81,"BOOK_CHAPTER","0","abioticos"
"abióticos",115,"BOOK","0","abioticos"
"abismo",8,"SPEAKER","0","abismo"
"abismo",77,"BOOK_CHAPTER","0","abismo"
"abissais",22,"BOOK_CHAPTER","0","abissais"
"abjeções",76,"BOOK_CHAPTER","0","abjecoes"
"abjeto",61,"BOOK_CHAPTER","0","abjeto"
"abjetos",76,"BOOK_CHAPTER","0","abjetos"
"able",15,"ARTICLE","0","able"
"abmael da cruz farias",1,"NAME","0","0"
"abnormalities",14,"ARTICLE","0","abnormalities"
"abnt",39,"BOOK","0","abnt"
"abóbora",9,"ARTICLE","0","abobora"
"abóbora",97,"BOOK_CHAPTER","0","abobora"
"abogados",30,"BOOK_CHAPTER","0","abogados"
"aboio",39,"BOOK_CHAPTER","0","aboio"
"aboios",37,"BOOK_CHAPTER","0","aboios"
"abolição",10,"SPEAKER","0","abolicao"
"abolição",265,"BOOK","0","abolicao"
"abolição",538,"BOOK_CHAPTER","0","abolicao"
"abolicionismo",30,"BOOK","0","abolicionismo"
"abolicionismo",59,"BOOK_CHAPTER","0","abolicionismo"
